Date	USD
11/15/05	1.1667
11/16/05	1.1677
11/17/05	1.1692
11/18/05	1.1679
11/21/05	1.1811
11/22/05	1.1701
11/23/05	1.1776
11/24/05	1.1783
11/25/05	1.1763
11/28/05	1.1726
11/29/05	1.1793
11/30/05	1.1769
12/1/05	1.1745
12/2/05	1.1697
12/5/05	1.1767
12/6/05	1.1783
12/7/05	1.171
12/8/05	1.1764
12/9/05	1.1785
12/12/05	1.1925
12/13/05	1.1925
12/14/05	1.202
12/15/05	1.1999
12/16/05	1.1983
12/19/05	1.1977
12/20/05	1.1955
12/21/05	1.1872
12/22/05	1.1822
12/23/05	1.1859
12/27/05	1.1852
12/28/05	1.1916
12/29/05	1.1825
12/30/05	1.1797
1/2/06	1.1826
1/3/06	1.1875
1/4/06	1.2083
1/5/06	1.2088
1/6/06	1.2093
1/9/06	1.2078
1/10/06	1.2064
1/11/06	1.2088
1/12/06	1.2113
1/13/06	1.2039
1/16/06	1.2112
1/17/06	1.2075
1/18/06	1.2125
1/19/06	1.2073
1/20/06	1.2068
1/23/06	1.2277
1/24/06	1.2272
1/25/06	1.2294
1/26/06	1.2254
1/27/06	1.2172
1/30/06	1.2082
1/31/06	1.2118
2/1/06	1.2092
2/2/06	1.2066
2/3/06	1.2061
2/6/06	1.1981
2/7/06	1.1973
2/8/06	1.1948
2/9/06	1.1972
2/10/06	1.197
2/13/06	1.1888
2/14/06	1.1898
2/15/06	1.1904
2/16/06	1.1858
2/17/06	1.1863
2/20/06	1.1932
2/21/06	1.1906
2/22/06	1.1875
2/23/06	1.1957
2/24/06	1.1896
2/27/06	1.1852
2/28/06	1.1875
3/1/06	1.1954
3/2/06	1.1921
3/3/06	1.202
3/6/06	1.2017
3/7/06	1.1913
3/8/06	1.1914
3/9/06	1.192
3/10/06	1.1919
3/13/06	1.1922
3/14/06	1.1948
3/15/06	1.2026
3/16/06	1.2069
3/17/06	1.2185
3/20/06	1.2174
3/21/06	1.2144
3/22/06	1.2069
3/23/06	1.2055
3/24/06	1.1969
3/27/06	1.2025
3/28/06	1.2084
3/29/06	1.2012
3/30/06	1.2096
3/31/06	1.2104
4/3/06	1.2063
4/4/06	1.2217
4/5/06	1.2262
4/6/06	1.2312
4/7/06	1.2179
4/10/06	1.2099
4/11/06	1.2105
4/12/06	1.2125
4/13/06	1.2094
4/18/06	1.2252
4/19/06	1.2346
4/20/06	1.2346
4/21/06	1.2315
4/24/06	1.2365
4/25/06	1.2425
4/26/06	1.2425
4/27/06	1.2414
4/28/06	1.2537
5/2/06	1.2643
5/3/06	1.2622
5/4/06	1.2592
5/5/06	1.2688
5/8/06	1.2756
5/9/06	1.2697
5/10/06	1.2779
5/11/06	1.2716
5/12/06	1.2914
5/15/06	1.2826
5/16/06	1.2817
5/17/06	1.2882
5/18/06	1.277
5/19/06	1.2767
5/22/06	1.2753
5/23/06	1.2841
5/24/06	1.2851
5/25/06	1.2755
5/26/06	1.2797
5/29/06	1.2758
5/30/06	1.2839
5/31/06	1.2868
6/1/06	1.2736
6/2/06	1.2815
6/5/06	1.2958
6/6/06	1.2847
6/7/06	1.2789
6/8/06	1.2735
6/9/06	1.2659
6/12/06	1.2572
6/13/06	1.2571
6/14/06	1.2563
6/15/06	1.261
6/16/06	1.2651
6/19/06	1.2591
6/20/06	1.2546
6/21/06	1.2632
6/22/06	1.2582
6/23/06	1.2502
6/26/06	1.2561
6/27/06	1.2567
6/28/06	1.257
6/29/06	1.2529
6/30/06	1.2713
7/3/06	1.279
7/4/06	1.2791
7/5/06	1.2794
7/6/06	1.2735
7/7/06	1.2778
7/10/06	1.2752
7/11/06	1.2736
7/12/06	1.2722
7/13/06	1.2692
7/14/06	1.2666
7/17/06	1.2541
7/18/06	1.2531
7/19/06	1.2482
7/20/06	1.2643
7/21/06	1.268
7/24/06	1.2633
7/25/06	1.2636
7/26/06	1.2587
7/27/06	1.2737
7/28/06	1.2664
7/31/06	1.2767
8/1/06	1.2759
8/2/06	1.2798
8/3/06	1.2781
8/4/06	1.2792
8/7/06	1.285
8/8/06	1.2839
8/9/06	1.2879
8/10/06	1.2857
8/11/06	1.2775
8/14/06	1.2718
8/15/06	1.2725
8/16/06	1.2793
8/17/06	1.2879
8/18/06	1.2802
8/21/06	1.2919
8/22/06	1.2812
8/23/06	1.2812
8/24/06	1.2831
8/25/06	1.2762
8/28/06	1.28
8/29/06	1.2808
8/30/06	1.2818
8/31/06	1.2851
9/1/06	1.2817
9/4/06	1.2852
9/5/06	1.281
9/6/06	1.2793
9/7/06	1.2731
9/8/06	1.2713
9/11/06	1.2713
9/12/06	1.2709
9/13/06	1.2677
9/14/06	1.2723
9/15/06	1.2675
9/18/06	1.2665
9/19/06	1.2654
9/20/06	1.2676
9/21/06	1.2731
9/22/06	1.2817
9/25/06	1.2768
9/26/06	1.2695
9/27/06	1.2684
9/28/06	1.2713
9/29/06	1.266
10/2/06	1.2685
10/3/06	1.2737
10/4/06	1.2684
10/5/06	1.2721
10/6/06	1.2664
10/9/06	1.2603
10/10/06	1.2538
10/11/06	1.2543
10/12/06	1.2531
10/13/06	1.255
10/16/06	1.2515
10/17/06	1.2524
10/18/06	1.2543
10/19/06	1.2561
10/20/06	1.2618
10/23/06	1.2556
10/24/06	1.2541
10/25/06	1.258
10/26/06	1.2653
10/27/06	1.2683
10/30/06	1.2717
10/31/06	1.2696
11/1/06	1.2757
11/2/06	1.2767
11/3/06	1.276
11/6/06	1.2702
11/7/06	1.2755
11/8/06	1.2776
11/9/06	1.2796
11/10/06	1.2864
11/13/06	1.283
11/14/06	1.2824
11/15/06	1.2792
11/16/06	1.2804
11/17/06	1.2774
11/20/06	1.2841
11/21/06	1.2814
11/22/06	1.2886
11/23/06	1.2953
11/24/06	1.3078
11/27/06	1.3114
11/28/06	1.3147
11/29/06	1.3157
11/30/06	1.32
12/1/06	1.3244
12/4/06	1.3309
12/5/06	1.3331
12/6/06	1.3274
12/7/06	1.3297
12/8/06	1.3276
12/11/06	1.3177
12/12/06	1.3244
12/13/06	1.3265
12/14/06	1.3192
12/15/06	1.3106
12/18/06	1.3095
12/19/06	1.3158
12/20/06	1.3203
12/21/06	1.3178
12/22/06	1.3192
12/27/06	1.3159
12/28/06	1.3173
12/29/06	1.317
1/2/07	1.327
1/3/07	1.3231
1/4/07	1.3106
1/5/07	1.3084
1/8/07	1.3006
1/9/07	1.3018
1/10/07	1.2988
1/11/07	1.2984
1/12/07	1.2893
1/15/07	1.2941
1/16/07	1.2953
1/17/07	1.2909
1/18/07	1.2922
1/19/07	1.2958
1/22/07	1.2936
1/23/07	1.304
1/24/07	1.3005
1/25/07	1.2978
1/26/07	1.2901
1/29/07	1.2921
1/30/07	1.2972
1/31/07	1.2954
2/1/07	1.302
2/2/07	1.302
2/5/07	1.2925
2/6/07	1.2955
2/7/07	1.2987
2/8/07	1.2991
2/9/07	1.3007
2/12/07	1.2956
2/13/07	1.3022
2/14/07	1.3082
2/15/07	1.3137
2/16/07	1.3119
2/19/07	1.3132
2/20/07	1.3145
2/21/07	1.3145
2/22/07	1.3106
2/23/07	1.3134
2/26/07	1.316
2/27/07	1.323
2/28/07	1.3211
3/1/07	1.3225
3/2/07	1.3163
3/5/07	1.3083
3/6/07	1.31
3/7/07	1.3135
3/8/07	1.3152
3/9/07	1.3155
3/12/07	1.3156
3/13/07	1.3218
3/14/07	1.3183
3/15/07	1.3226
3/16/07	1.3325
3/19/07	1.3303
3/20/07	1.3296
3/21/07	1.3293
3/22/07	1.3351
3/23/07	1.3327
3/26/07	1.3265
3/27/07	1.3347
3/28/07	1.3348
3/29/07	1.3352
3/30/07	1.3318
4/2/07	1.3366
4/3/07	1.3358
4/4/07	1.3352
4/5/07	1.3373
4/10/07	1.3426
4/11/07	1.3418
4/12/07	1.3467
4/13/07	1.3532
4/16/07	1.355
4/17/07	1.3549
4/18/07	1.3577
4/19/07	1.3601
4/20/07	1.3606
4/23/07	1.3557
4/24/07	1.3582
4/25/07	1.3649
4/26/07	1.3596
4/27/07	1.3643
4/30/07	1.3605
5/2/07	1.3588
5/3/07	1.3613
5/4/07	1.3561
5/7/07	1.3615
5/8/07	1.3558
5/9/07	1.3535
5/10/07	1.3527
5/11/07	1.3486
5/14/07	1.3549
5/15/07	1.3538
5/16/07	1.3574
5/17/07	1.3516
5/18/07	1.3477
5/21/07	1.3444
5/22/07	1.3454
5/23/07	1.349
5/24/07	1.3448
5/25/07	1.3441
5/28/07	1.3453
5/29/07	1.3509
5/30/07	1.342
5/31/07	1.3453
6/1/07	1.3436
6/4/07	1.3482
6/5/07	1.3532
6/6/07	1.3513
6/7/07	1.347
6/8/07	1.3349
6/11/07	1.3355
6/12/07	1.3345
6/13/07	1.3287
6/14/07	1.3304
6/15/07	1.3314
6/18/07	1.3404
6/19/07	1.3403
6/20/07	1.3427
6/21/07	1.3397
6/22/07	1.3441
6/25/07	1.3461
6/26/07	1.346
6/27/07	1.3438
6/28/07	1.3467
6/29/07	1.3505
7/2/07	1.3588
7/3/07	1.3601
7/4/07	1.3618
7/5/07	1.364
7/6/07	1.3596
7/9/07	1.3621
7/10/07	1.3666
7/11/07	1.3753
7/12/07	1.3788
7/13/07	1.3782
7/16/07	1.3781
7/17/07	1.3771
7/18/07	1.3779
7/19/07	1.382
7/20/07	1.3803
7/23/07	1.3821
7/24/07	1.3833
7/25/07	1.3743
7/26/07	1.3722
7/27/07	1.3651
7/30/07	1.3659
7/31/07	1.3707
8/1/07	1.3663
8/2/07	1.3664
8/3/07	1.3694
8/6/07	1.3818
8/7/07	1.3794
8/8/07	1.3794
8/9/07	1.3729
8/10/07	1.365
8/13/07	1.3651
8/14/07	1.3591
8/15/07	1.3476
8/16/07	1.3405
8/17/07	1.3454
8/20/07	1.3476
8/21/07	1.3508
8/22/07	1.3493
8/23/07	1.3574
8/24/07	1.3615
8/27/07	1.3658
8/28/07	1.3664
8/29/07	1.3631
8/30/07	1.361
8/31/07	1.3705
9/3/07	1.3632
9/4/07	1.358
9/5/07	1.3588
9/6/07	1.3669
9/7/07	1.3696
9/10/07	1.3795
9/11/07	1.3824
9/12/07	1.3885
9/13/07	1.3897
9/14/07	1.386
9/17/07	1.3877
9/18/07	1.3867
9/19/07	1.3975
9/20/07	1.403
9/21/07	1.4049
9/24/07	1.4113
9/25/07	1.4106
9/26/07	1.4127
9/27/07	1.418
9/28/07	1.4179
10/1/07	1.4232
10/2/07	1.4165
10/3/07	1.4195
10/4/07	1.4109
10/5/07	1.4136
10/8/07	1.4089
10/9/07	1.4037
10/10/07	1.4146
10/11/07	1.4199
10/12/07	1.4173
10/15/07	1.4226
10/16/07	1.415
10/17/07	1.42
10/18/07	1.4299
10/19/07	1.4288
10/22/07	1.4166
10/23/07	1.4254
10/24/07	1.423
10/25/07	1.4309
10/26/07	1.4384
10/29/07	1.4391
10/30/07	1.4407
10/31/07	1.4447
11/1/07	1.4423
11/2/07	1.4479
11/5/07	1.4488
11/6/07	1.4547
11/7/07	1.4722
11/8/07	1.4666
11/9/07	1.4683
11/12/07	1.4579
11/13/07	1.4607
11/14/07	1.47
11/15/07	1.4639
11/16/07	1.4651
11/19/07	1.4654
11/20/07	1.4785
11/21/07	1.4814
11/22/07	1.4829
11/23/07	1.4809
11/26/07	1.4845
11/27/07	1.4874
11/28/07	1.4747
11/29/07	1.4738
11/30/07	1.4761
12/3/07	1.4666
12/4/07	1.4741
12/5/07	1.472
12/6/07	1.4554
12/7/07	1.4649
12/10/07	1.4718
12/11/07	1.4672
12/12/07	1.4675
12/13/07	1.4683
12/14/07	1.4509
12/17/07	1.4393
12/18/07	1.4416
12/19/07	1.4385
12/20/07	1.4349
12/21/07	1.438
12/24/07	1.4398
12/27/07	1.4516
12/28/07	1.4692
12/31/07	1.4721
1/2/08	1.4688
1/3/08	1.4753
1/4/08	1.4727
1/7/08	1.4723
1/8/08	1.4705
1/9/08	1.468
1/10/08	1.4662
1/11/08	1.4792
1/14/08	1.4895
1/15/08	1.4886
1/16/08	1.4792
1/17/08	1.4691
1/18/08	1.4674
1/21/08	1.4482
1/22/08	1.4494
1/23/08	1.4574
1/24/08	1.4663
1/25/08	1.4705
1/28/08	1.4755
1/29/08	1.4773
1/30/08	1.481
1/31/08	1.487
2/1/08	1.4889
2/4/08	1.4829
2/5/08	1.4688
2/6/08	1.4621
2/7/08	1.4569
2/8/08	1.4513
2/11/08	1.4542
2/12/08	1.4538
2/13/08	1.4586
2/14/08	1.4626
2/15/08	1.4674
2/18/08	1.4636
2/19/08	1.4742
2/20/08	1.4656
2/21/08	1.4736
2/22/08	1.4848
2/25/08	1.4817
2/26/08	1.4874
2/27/08	1.5044
2/28/08	1.5121
2/29/08	1.5167
3/3/08	1.5203
3/4/08	1.5206
3/5/08	1.5196
3/6/08	1.5319
3/7/08	1.5417
3/10/08	1.534
3/11/08	1.5379
3/12/08	1.5477
3/13/08	1.5577
3/14/08	1.5561
3/17/08	1.577
3/18/08	1.5771
3/19/08	1.5692
3/20/08	1.5423
3/25/08	1.5569
3/26/08	1.571
3/27/08	1.5786
3/28/08	1.5796
3/31/08	1.5812
4/1/08	1.566
4/2/08	1.5632
4/3/08	1.5526
4/4/08	1.5722
4/7/08	1.5693
4/8/08	1.5694
4/9/08	1.5726
4/10/08	1.5875
4/11/08	1.5833
4/14/08	1.5869
4/15/08	1.5828
4/16/08	1.5928
4/17/08	1.5872
4/18/08	1.578
4/21/08	1.5898
4/22/08	1.5931
4/23/08	1.594
4/24/08	1.5769
4/25/08	1.5596
4/28/08	1.5628
4/29/08	1.5571
4/30/08	1.554
5/2/08	1.5458
5/5/08	1.546
5/6/08	1.5528
5/7/08	1.543
5/8/08	1.5347
5/9/08	1.5458
5/12/08	1.543
5/13/08	1.5473
5/14/08	1.5439
5/15/08	1.5474
5/16/08	1.5498
5/19/08	1.5577
5/20/08	1.5639
5/21/08	1.5753
5/22/08	1.5755
5/23/08	1.5742
5/26/08	1.5761
5/27/08	1.576
5/28/08	1.5656
5/29/08	1.5551
5/30/08	1.5508
6/2/08	1.5521
6/3/08	1.5593
6/4/08	1.5466
6/5/08	1.5402
6/6/08	1.5597
6/9/08	1.5784
6/10/08	1.5526
6/11/08	1.5515
6/12/08	1.5417
6/13/08	1.5336
6/16/08	1.5459
6/17/08	1.5477
6/18/08	1.5493
6/19/08	1.5481
6/20/08	1.561
6/23/08	1.5521
6/24/08	1.5568
6/25/08	1.5599
6/26/08	1.5731
6/27/08	1.5748
6/30/08	1.5764
7/1/08	1.5775
7/2/08	1.5806
7/3/08	1.5885
7/4/08	1.5671
7/7/08	1.5651
7/8/08	1.5687
7/9/08	1.5715
7/10/08	1.5708
7/11/08	1.5835
7/14/08	1.5847
7/15/08	1.599
7/16/08	1.5888
7/17/08	1.5849
7/18/08	1.5816
7/21/08	1.5858
7/22/08	1.5919
7/23/08	1.5741
7/24/08	1.5677
7/25/08	1.5734
7/28/08	1.5746
7/29/08	1.5705
7/30/08	1.5589
7/31/08	1.5611
8/1/08	1.5574
8/4/08	1.5566
8/5/08	1.5487
8/6/08	1.5478
8/7/08	1.5471
8/8/08	1.5074
8/11/08	1.5012
8/12/08	1.4907
8/13/08	1.4903
8/14/08	1.4907
8/15/08	1.4729
8/18/08	1.4704
8/19/08	1.4677
8/20/08	1.4734
8/21/08	1.4814
8/22/08	1.4808
8/25/08	1.4767
8/26/08	1.4598
8/27/08	1.4767
8/28/08	1.4771
8/29/08	1.4735
9/1/08	1.4621
9/2/08	1.4516
9/3/08	1.4441
9/4/08	1.4488
9/5/08	1.4247
9/8/08	1.4214
9/9/08	1.4144
9/10/08	1.4094
9/11/08	1.3934
9/12/08	1.4066
9/15/08	1.4151
9/16/08	1.4267
9/17/08	1.4224
9/18/08	1.4502
9/19/08	1.4236
9/22/08	1.4571
9/23/08	1.4731
9/24/08	1.469
9/25/08	1.47
9/26/08	1.464
9/29/08	1.4349
9/30/08	1.4303
10/1/08	1.4081
10/2/08	1.3903
10/3/08	1.3834
10/6/08	1.3634
10/7/08	1.3632
10/8/08	1.3731
10/9/08	1.3682
10/10/08	1.3579
10/13/08	1.3639
10/14/08	1.3752
10/15/08	1.3625
10/16/08	1.3507
10/17/08	1.3404
10/20/08	1.3424
10/21/08	1.3184
10/22/08	1.2843
10/23/08	1.281
10/24/08	1.2596
10/27/08	1.246
10/28/08	1.2526
10/29/08	1.277
10/30/08	1.3035
10/31/08	1.2757
11/3/08	1.2822
11/4/08	1.282
11/5/08	1.287
11/6/08	1.277
11/7/08	1.2756
11/10/08	1.2891
11/11/08	1.2747
11/12/08	1.253
11/13/08	1.2525
11/14/08	1.2675
11/17/08	1.266
11/18/08	1.2653
11/19/08	1.2634
11/20/08	1.2542
11/21/08	1.2602
11/24/08	1.2773
11/25/08	1.2811
11/26/08	1.2935
11/27/08	1.29
11/28/08	1.2727
12/1/08	1.2608
12/2/08	1.2697
12/3/08	1.2623
12/4/08	1.262
12/5/08	1.2665
12/8/08	1.2854
12/9/08	1.2838
12/10/08	1.2925
12/11/08	1.3215
12/12/08	1.334
12/15/08	1.351
12/16/08	1.369
12/17/08	1.4059
12/18/08	1.4616
12/19/08	1.394
12/22/08	1.397
12/23/08	1.3978
12/24/08	1.4005
12/29/08	1.427
12/30/08	1.4098
12/31/08	1.3917
1/2/09	1.3866
1/5/09	1.3582
1/6/09	1.3332
1/7/09	1.3595
1/8/09	1.3617
1/9/09	1.3684
1/12/09	1.3394
1/13/09	1.3262
1/14/09	1.3173
1/15/09	1.3085
1/16/09	1.327
1/19/09	1.3182
1/20/09	1.293
1/21/09	1.291
1/22/09	1.2984
1/23/09	1.2795
1/26/09	1.299
1/27/09	1.3174
1/28/09	1.326
1/29/09	1.3111
1/30/09	1.2816
2/2/09	1.276
2/3/09	1.2849
2/4/09	1.2818
2/5/09	1.2829
2/6/09	1.2796
2/9/09	1.3008
2/10/09	1.2967
2/11/09	1.2938
2/12/09	1.2833
2/13/09	1.2823
2/16/09	1.2765
2/17/09	1.2634
2/18/09	1.2596
2/19/09	1.2705
2/20/09	1.2591
2/23/09	1.2798
2/24/09	1.2763
2/25/09	1.2795
2/26/09	1.2782
2/27/09	1.2644
3/2/09	1.2596
3/3/09	1.2615
3/4/09	1.2555
3/5/09	1.2555
3/6/09	1.2658
3/9/09	1.2565
3/10/09	1.2783
3/11/09	1.2786
3/12/09	1.2782
3/13/09	1.2905
3/16/09	1.3042
3/17/09	1.2942
3/18/09	1.313
3/19/09	1.3671
3/20/09	1.3549
3/23/09	1.3558
3/24/09	1.3507
3/25/09	1.3494
3/26/09	1.3607
3/27/09	1.3295
3/30/09	1.3193
3/31/09	1.3308
4/1/09	1.3246
4/2/09	1.3392
4/3/09	1.3425
4/6/09	1.3496
4/7/09	1.3255
4/8/09	1.3231
4/9/09	1.3273
4/14/09	1.3276
4/15/09	1.3173
4/16/09	1.3196
4/17/09	1.3058
4/20/09	1.2966
4/21/09	1.2932
4/22/09	1.2947
4/23/09	1.305
4/24/09	1.3232
4/27/09	1.3125
4/28/09	1.2992
4/29/09	1.3266
4/30/09	1.3275
5/4/09	1.3223
5/5/09	1.3403
5/6/09	1.3322
5/7/09	1.3363
5/8/09	1.3425
5/11/09	1.3574
5/12/09	1.3683
5/13/09	1.3623
5/14/09	1.3563
5/15/09	1.3518
5/18/09	1.3494
5/19/09	1.3612
5/20/09	1.369
5/21/09	1.3771
5/22/09	1.3972
5/25/09	1.401
5/26/09	1.3908
5/27/09	1.3901
5/28/09	1.3856
5/29/09	1.4098
6/1/09	1.422
6/2/09	1.4238
6/3/09	1.4207
6/4/09	1.4095
6/5/09	1.4177
6/8/09	1.3866
6/9/09	1.3959
6/10/09	1.4102
6/11/09	1.3969
6/12/09	1.4004
6/15/09	1.385
6/16/09	1.389
6/17/09	1.384
6/18/09	1.392
6/19/09	1.3932
6/22/09	1.3858
6/23/09	1.3978
6/24/09	1.4029
6/25/09	1.394
6/26/09	1.4096
6/29/09	1.4058
6/30/09	1.4134
7/1/09	1.4096
7/2/09	1.4049
7/3/09	1.4009
7/6/09	1.3897
7/7/09	1.4019
7/8/09	1.3901
7/9/09	1.399
7/10/09	1.3901
7/13/09	1.3975
7/14/09	1.3991
7/15/09	1.4089
7/16/09	1.413
7/17/09	1.409
7/20/09	1.4217
7/21/09	1.4223
7/22/09	1.4191
7/23/09	1.4229
7/24/09	1.4227
7/27/09	1.4269
7/28/09	1.4229
7/29/09	1.4104
7/30/09	1.4053
7/31/09	1.4138
8/3/09	1.4303
8/4/09	1.4384
8/5/09	1.441
8/6/09	1.437
8/7/09	1.4357
8/10/09	1.4202
8/11/09	1.4166
8/12/09	1.417
8/13/09	1.4293
8/14/09	1.4294
8/17/09	1.4072
8/18/09	1.4101
8/19/09	1.4112
8/20/09	1.4243
8/21/09	1.433
8/24/09	1.4323
8/25/09	1.4324
8/26/09	1.427
8/27/09	1.4268
8/28/09	1.4364
8/31/09	1.4272
9/1/09	1.4314
9/2/09	1.422
9/3/09	1.4335
9/4/09	1.4262
9/7/09	1.433
9/8/09	1.4473
9/9/09	1.4522
9/10/09	1.4545
9/11/09	1.4594
9/14/09	1.4561
9/15/09	1.4611
9/16/09	1.4671
9/17/09	1.4712
9/18/09	1.4705
9/21/09	1.4658
9/22/09	1.478
9/23/09	1.4783
9/24/09	1.4768
9/25/09	1.467
9/28/09	1.465
9/29/09	1.4549
9/30/09	1.4643
10/1/09	1.4539
10/2/09	1.4537
10/5/09	1.4616
10/6/09	1.4722
10/7/09	1.4694
10/8/09	1.4763
10/9/09	1.475
10/12/09	1.4765
10/13/09	1.4864
10/14/09	1.4881
10/15/09	1.4864
10/16/09	1.4869
10/19/09	1.4918
10/20/09	1.4971
10/21/09	1.4921
10/22/09	1.5
10/23/09	1.502
10/26/09	1.5019
10/27/09	1.4874
10/28/09	1.4785
10/29/09	1.4788
10/30/09	1.48
11/2/09	1.4772
11/3/09	1.4658
11/4/09	1.4761
11/5/09	1.4867
11/6/09	1.4862
11/9/09	1.4984
11/10/09	1.4966
11/11/09	1.5037
11/12/09	1.4922
11/13/09	1.4868
11/16/09	1.4965
11/17/09	1.4875
11/18/09	1.4957
11/19/09	1.4863
11/20/09	1.4815
11/23/09	1.4968
11/24/09	1.4969
11/25/09	1.5083
11/26/09	1.5071
11/27/09	1.4918
11/30/09	1.5023
12/1/09	1.5074
12/2/09	1.509
12/3/09	1.512
12/4/09	1.5068
12/7/09	1.4787
12/8/09	1.4774
12/9/09	1.4768
12/10/09	1.473
12/11/09	1.4757
12/14/09	1.4647
12/15/09	1.4541
12/16/09	1.456
12/17/09	1.4343
12/18/09	1.4337
12/21/09	1.4368
12/22/09	1.4279
12/23/09	1.4276
12/24/09	1.4398
12/28/09	1.4405
12/29/09	1.4433
12/30/09	1.4338
12/31/09	1.4406
1/4/10	1.4389
1/5/10	1.4442
1/6/10	1.435
1/7/10	1.4304
1/8/10	1.4273
1/11/10	1.4528
1/12/10	1.4481
1/13/10	1.4563
1/14/10	1.4486
1/15/10	1.4374
1/18/10	1.4369
1/19/10	1.4279
1/20/10	1.4132
1/21/10	1.4064
1/22/10	1.4135
1/25/10	1.4151
1/26/10	1.4085
1/27/10	1.4072
1/28/10	1.3999
1/29/10	1.3966
2/1/10	1.3913
2/2/10	1.3937
2/3/10	1.3984
2/4/10	1.3847
2/5/10	1.3691
